1.35, 0.66, 0.10, 0.06, -0.01, -0.95
0.16, 1.93, -0.40, -0.10, 0.04, -0.47
0.19, 0.40, 1.10, -0.20, 0.06, -0.37
-0.42, -0.73, -0.45, 2.23, -0.27, -0.89
-0.33, 0.04, -0.23, -0.04, 1.57, -0.64
-0.98, 0.44, -0.23, 0.49, -0.66, 1.02
1.42, 0.48, -0.10, -0.22, 0.19, -0.69
1.00, 2.28, -0.27, -1.05, 0.63, -0.02
-0.45, 0.13, 1.22, 0.20, -0.32, -0.47
-0.45, 0.21, -0.59, 1.46, -0.15, -0.56
-0.62, -0.57, -0.08, 0.21, 1.69, -0.96
-1.63, 0.19, -0.39, 0.66, -0.33, 0.92
1.41, 0.49, -0.40, 0.02, -0.30, -0.41
0.66, 2.05, -0.27, -0.41, 0.06, -0.17
-0.42, -0.32, 1.38, 0.30, 0.12, -0.53
-0.21, -0.10, -0.34, 1.41, 0.06, -0.26
-0.15, 0.49, 0.05, 0.06, 1.00, -0.32
-0.06, 0.99, 0.05, -0.48, -0.27, 1.42
1.66, 0.09, -0.07, -0.21, 0.28, -0.65
-0.47, 1.84, -0.60, 0.26, -0.20, -0.82
-0.02, 0.00, 1.04, 0.24, -0.24, -0.39
-0.95, -0.04, -0.49, 1.72, -0.15, -0.36
-0.93, -0.68, 0.17, 0.30, 1.69, -0.84
-0.51, 0.75, 0.15, -0.21, -0.49, 1.40
2.04, 1.23, -0.19, -1.24, 0.37, -0.07
-0.96, 1.97, -0.86, 0.37, -0.19, -0.17
-0.64, -0.33, 1.33, 0.20, 0.13, -0.59
-0.52, -0.17, -0.27, 1.60, -0.09, -0.50
-0.39, -0.28, -0.37, 0.03, 1.70, -0.81
-0.25, 0.61, -0.29, 0.01, -0.11, 1.10
1.14, 0.20, -0.01, 0.02, 0.22, -0.63
0.18, 1.91, -0.43, -0.08, -0.07, -0.37
-0.01, -0.15, 1.17, 0.29, -0.42, -0.44
-0.56, 0.26, -0.64, 1.93, -0.29, -0.84
-0.24, 0.32, -0.43, -0.02, 1.58, -0.69
-0.72, 0.58, -0.38, 0.41, -0.56, 1.03
1.32, -0.28, -0.18, 0.82, -0.14, -0.77
-0.87, 1.73, -0.53, 0.09, 0.07, -0.32
-0.20, -0.15, 1.20, 0.32, -0.16, -0.42
-0.58, 0.20, -0.61, 1.53, -0.18, -0.58
-0.46, -0.30, -0.10, 0.16, 1.55, -0.76
-0.70, 0.76, -0.11, -0.03, -0.18, 1.10
1.53, 0.50, 0.01, -0.45, 0.31, -0.73
0.00, 1.70, -0.20, 0.09, -0.20, -0.51
-0.39, -0.61, 1.51, 0.49, 0.24, -0.76
-0.74, -0.12, -0.67, 1.63, -0.04, -0.65
-0.20, 0.23, -0.41, 0.16, 1.55, -0.72
-0.24, 0.42, -0.11, 0.10, -0.39, 1.22
1.12, 0.28, -0.24, 0.22, -0.04, -0.48
-0.99, 1.90, -0.88, 0.49, -0.23, -0.31
0.11, 0.36, 1.17, -0.06, -0.56, -0.04
-0.35, -0.31, -0.36, 1.58, -0.09, -0.43
-0.49, 0.13, -0.43, -0.05, 1.61, -0.56
-0.29, 0.50, -0.52, 0.25, -0.13, 0.88
1.36, 0.90, -0.03, -0.32, 0.11, -0.67
-0.15, 2.04, -0.32, -0.02, -0.17, -0.31
-0.03, 0.06, 1.21, -0.17, 0.18, -0.44
-0.61, -0.25, -0.59, 1.58, -0.04, -0.75
-0.42, 0.01, -0.63, 0.23, 1.51, -0.69
0.07, 0.72, -0.08, -0.27, -0.17, 1.08
