-0.19, -0.84, -1.25, -0.18, 1.58
-3.15, 2.82, 1.30, -0.29, 1.78
1.00, 3.65, 0.10, -1.04, -3.16
1.25, -1.42, -0.22, 3.35, -2.76
0.08, 1.27, -0.36, -4.52, 4.05
2.08, -4.35, 3.28, 0.84, 1.64
0.92, 3.05, 1.22, -2.76, 1.99
-0.90, 2.23, 1.86, -1.86, -1.68
1.59, -5.45, 1.58, 3.75, -1.74
2.35, -2.96, -3.37, 0.36, 4.95
2.92, -1.95, 3.44, 0.13, -0.74
1.20, 2.68, 0.59, 0.08, -4.67
-0.85, -0.58, 0.61, -0.41, 3.33
3.49, -3.22, -0.07, 3.21, -1.57
9.43, -4.93, -1.89, -1.52, 2.70
-0.83, 1.71, 1.25, 0.46, -0.63
-2.75, 3.70, 1.39, -1.87, -0.72
-1.53, 2.22, 1.83, -1.63, -1.42
-0.89, -1.23, 0.16, 3.12, -3.41
1.64, 1.13, -1.40, -2.01, 2.76
5.17, -2.71, -0.19, 0.37, 0.26
0.19, 2.87, 0.57, -1.71, 0.80
0.59, 3.20, 1.59, -2.20, -3.65
1.58, -0.79, 0.02, 3.72, -2.95
8.09, -2.95, -7.52, 1.81, 2.36
5.42, -1.28, 0.02, -1.08, -1.27
-0.44, 2.45, -0.75, -1.36, -0.66
-2.14, 0.70, 2.85, -1.37, -1.49
2.90, 2.30, 1.11, 1.23, -2.67
5.10, -0.02, -3.76, 1.10, 2.27
3.03, -2.27, 1.31, 0.37, 1.08
0.61, 1.94, 1.07, -1.25, 0.88
-2.42, -0.47, 2.73, -1.34, 0.54
3.03, -2.68, -3.23, 3.50, -1.28
1.42, -0.93, -2.66, -2.18, 3.93
0.65, 2.28, 1.25, 1.40, -2.35
-0.06, 2.17, 0.56, -1.90, 0.31
-3.19, 1.12, 2.05, -0.64, 0.24
1.69, 0.70, -0.93, 3.34, -2.58
-0.40, 0.97, -4.68, 0.39, 5.40
5.01, -1.09, -2.23, -1.54, -0.78
-2.50, 3.30, 1.29, -1.94, -0.36
2.15, 1.55, 3.48, -2.92, 1.31
0.69, -2.58, -0.51, 4.86, -4.97
3.75, -2.16, -2.96, -0.13, 4.18
3.32, 2.16, 1.53, -1.82, -2.69
-3.20, 3.77, 2.44, -2.97, -1.37
2.28, 2.46, 1.62, -0.58, -2.44
3.07, -0.37, -0.33, 3.15, -3.34
0.36, 0.36, -4.82, 1.83, 3.85
4.70, -0.57, -2.56, -0.83, -2.22
-0.99, 2.52, -0.16, -1.07, -0.46
-2.56, 3.12, 2.00, -0.75, -0.32
4.18, -1.67, 0.71, 0.77, -1.29
4.19, -0.95, -4.10, -3.17, 5.01
3.25, -2.42, -0.39, 0.47, 0.17
1.39, 3.00, 0.16, -2.11, 1.18
-1.16, 1.78, 1.72, -1.65, 0.08
0.03, -1.92, -0.33, 3.89, -2.50
-0.22, 0.39, 0.26, 0.29, 0.69
-0.40, 4.40, -4.75, -1.25, -4.55
-2.23, 3.12, 0.15, -0.68, -0.79
-2.13, 3.38, 3.22, 0.77, -4.35
2.88, -2.43, -2.33, 3.93, -3.21
4.11, -0.27, -4.68, 0.33, 1.37
2.06, -2.54, 0.23, 1.17, 1.93
0.38, 3.97, 0.44, -2.71, -0.23
-0.63, 1.13, 1.90, -1.33, -0.37
0.77, 1.29, 2.16, 0.80, -2.06
5.07, -1.92, -0.51, -0.34, -0.55
3.55, -1.34, -1.50, -0.81, -1.28
0.04, 2.39, 0.53, -1.97, -0.19
-2.34, 0.76, 2.64, -1.14, -0.98
0.06, -0.41, -1.21, 3.61, -3.40
-1.16, 0.03, -0.23, -4.21, 7.86
4.29, -0.07, -2.06, -0.20, -2.39
-3.46, 4.00, 1.21, -1.96, -1.63
-3.96, 1.87, 2.42, 2.13, 2.36
1.47, 0.30, 0.32, 2.21, -2.51
4.45, -0.38, -2.55, -1.38, 3.68
3.62, -1.35, 0.36, -1.50, 1.37
0.43, 1.19, 1.21, -2.68, 3.85
-0.99, -0.21, 1.90, -0.84, 0.11
3.65, -4.00, -1.50, 3.18, -1.73
5.88, -1.46, -3.17, -1.47, 2.77
3.47, -0.74, 1.91, 1.06, -3.49
0.23, 2.90, 1.42, -2.29, 0.13
0.40, 2.15, 0.20, 0.23, -2.35
-0.00, -1.82, -0.76, 3.17, -1.67
2.10, -0.39, -1.00, -3.48, 2.08
4.52, -1.11, -2.14, -0.46, -1.49
1.33, 1.32, 1.21, -1.54, 2.02
0.75, 1.64, 0.90, -1.68, 1.80
-4.43, 0.23, 0.24, 2.51, -1.12
-1.18, 0.10, -0.75, -1.20, 6.27
5.42, -1.04, -0.92, -0.35, -1.17
-1.14, 2.17, -0.72, -0.35, -1.26
0.22, 3.06, 1.56, -1.62, -5.68
2.11, -2.61, 2.10, 4.83, -3.78
3.89, -0.17, -4.67, -2.13, 3.59
